CabinetEStopInput,POE\Main\Code.GB,1,IN,54,31,Read,,SAFEBOOL,SIX16.0,,VAR_GLOBAL,GLOBAL,,
RelaseVFD_STO2,POE\Main\Code.GB,2,OUT,44,26,Write,,BOOL,NSQX20.1,,VAR_GLOBAL,GLOBAL,,
ReleaseVFD_STO,POE\Main\Code.GB,2,OUT,24,26,Write,,BOOL,NSQX20.0,,VAR_GLOBAL,GLOBAL,,
SafetyOK,POE\Main\Code.GB,2,OUT,29,13,Write,,BOOL,NSQX0.0,,VAR_GLOBAL,GLOBAL,,
safetyReset,POE\Main\Code.GB,1,IN,2,38,Read,,BOOL,NSIX0.0,,VAR_GLOBAL,GLOBAL,,
SafetyRunning,POE\Main\Code.GB,1,OUT,25,0,Write,,BOOL,NSQX0.1,,VAR_GLOBAL,GLOBAL,,
VFD_STO,POE\Main\Code.GB,2,OUT,22,35,Write,,SAFEBOOL,SQX14.0,,VAR_GLOBAL,GLOBAL,,
VFD_STO2,POE\Main\Code.GB,2,OUT,49,34,Write,,SAFEBOOL,SQX14.1,,VAR_GLOBAL,GLOBAL,,
